Rank,Team,Name,Position,Games,ADP,Bye,SOS,InjuryRisk,Floor Proj,Consensus Proj,DS Proj,CeilingProj,Value
619,SEA,Tory Horton,WR,17,25.1,8,0%,0%,41.2,48,54,147.3,-23.6
620,LAC,Alohi Gilman,DB,17,,12,-31%,0%,36.3,95,73,98,-23.7
621,CLE,Pierre Strong Jr.,RB,17,57.04,9,-12%,29%,21.9,10,28,79.9,-23.9
622,MIN,Ty Chandler,RB,17,42.01,6,-16%,29%,23.7,18,26,79.1,-24
623,NYG,Greg Dulcich,TE,17,44.12,14,-25%,78%,18.2,8,28,109.4,-24.1
624,UNS,Cordarrelle Patterson,RB,17,70.11,18,-,35%,22.5,23,33,63,-24.1
625,NO,Marcus Yarns,RB,17,,11,12%,0%,13.4,,19,84.4,-24.2
626,DET,Isaac TeSlaa,WR,17,26.12,8,7%,0%,40.4,37,54,150.9,-24.2
627,CLE,Dustin Hopkins,K,17,40.06,9,-12%,0%,119.7,123,123,160.4,-24.3
628,GB,Christopher Brooks,RB,17,48.03,5,-1%,0%,21.3,17,30,65.1,-24.4
629,NYJ,Stone Smartt,TE,17,45.02,9,-12%,0%,22.8,21,29,91.4,-24.4
630,WAS,Deatrich Wise,DL,16,,12,-22%,0%,41.5,63,52,68,-24.4
631,ARI,Elijah Higgins,TE,17,45.03,8,-14%,0%,24.7,28,33,77.5,-24.5
632,PIT,Payton Wilson,LB,16,,5,1%,0%,60,96,86,132.8,-24.5
633,CIN,B.J. Hill,DL,17,,10,0%,0%,37.1,64,49,61.8,-24.5
634,ARI,Garrett Williams,DB,17,,8,-14%,0%,49.3,3,66,98.7,-24.8
635,SEA,Derick Hall,DL,17,,8,36%,0%,36,51,48,62.3,-24.9
636,NYG,Deonte Banks,DB,17,,14,64%,0%,48.9,89,70,90.7,-24.9
637,DAL,Malik Hooker,DB,17,,10,29%,16%,48.8,49,70,90.6,-24.9
638,LVR,Sincere McCormick,RB,17,31.02,8,2%,0%,18,19,24,71.9,-25
639,WAS,Javon Kinlaw,DL,16,,12,-22%,0%,37.6,32,47,75.1,-25
640,DET,Craig Reynolds,RB,17,63.08,8,-14%,0%,18.4,15,24,70.9,-25.1
641,TEN,T'Vondre Sweat,DL,17,,10,86%,0%,38.3,44,48,59.8,-25.1
